,title,author,major,tutor,time,url
2975,Pd/ZnAl2O4催化乙炔选择性加氢的基础研究,陈烨赟(硕士),物理化学,王勇,2020-06-04 15:30,https://gs.xmu.edu.cn/info/1220/8210.htm
2976,动力锂离子电池电化学-热耦合模型研究,刘朝玥(硕士),应用化学,赵金保,2020-06-04 15:50,https://gs.xmu.edu.cn/info/1220/8209.htm
2977,2009-2015年厦门市原发性肝癌的发病、死亡和生存分析及IL-10基因单核苷酸多态性与慢性HBV感染的相关性研究,张璋(硕士),公共卫生硕士(专业学位),苏成豪,2020-06-04 16:06,https://gs.xmu.edu.cn/info/1220/8208.htm
2978,面向光学信息存储应用的深陷阱长余辉发光材料的制备及其性能研究,李武辉(硕士),材料工程(专业学位),解荣军,2020-06-04 16:15,https://gs.xmu.edu.cn/info/1220/8207.htm
2979,二氧化铈氧空位及其对光催化染料降解性能的影响,陈燕妹(硕士),化学工程(专业学位),王勇,2020-06-04 16:30,https://gs.xmu.edu.cn/info/1220/8206.htm
2980,超薄CsPbBr3钙钛矿纳米片的可控合成、发光性能及机理研究,萧晓琳(硕士),材料工程(专业学位),解荣军,2020-06-04 17:00,https://gs.xmu.edu.cn/info/1220/8205.htm
2981,氮化硼催化剂上甲烷选择氧化制甲醛的研究,殷敏(硕士),化学工程(专业学位),王勇,2020-06-04 17:30,https://gs.xmu.edu.cn/info/1220/8204.htm
2982,"金属有机框架材料 Ln (BTC)和 MOF-5 的制备及其 在 2,6-吡啶二羧酸和丙酮高灵敏度荧光检测中的应用",吴美妮(硕士),材料工程(专业学位),解荣军,2020-06-04 17:45,https://gs.xmu.edu.cn/info/1220/8203.htm
2983,铜基硫属化合物的结构设计、制备及储铝机理的探究,吴俊男(硕士),物理化学,赵金保,2020-06-04 14:30,https://gs.xmu.edu.cn/info/1220/8222.htm
2984,钙钛矿太阳能电池大面积刮涂制备工艺研究,徐中原(硕士),光伏工程,林伟,2020-06-04 14:30,https://gs.xmu.edu.cn/info/1220/8221.htm
2985,环太湖地区夏商时期原始瓷初步研究,王欢欢(硕士),文物与博物馆硕士(专业学位),付琳,2020-06-04 14:30,https://gs.xmu.edu.cn/info/1220/8220.htm
2986,闽江上游地区新石器时代墓葬初步分析,官民伙(硕士),考古学,付琳,2020-06-04 14:30,https://gs.xmu.edu.cn/info/1220/8219.htm
2987,丝素基柔性电致发光器件,徐川(硕士),生物医学工程,林乃波,2020-06-04 14:40,https://gs.xmu.edu.cn/info/1220/8218.htm
2988,全无机钙钛矿纳米晶的合成、发光性能及稳定性研究,方聪(硕士),材料工程(专业学位),唐学原,2020-06-04 14:45,https://gs.xmu.edu.cn/info/1220/8217.htm
2989,"磷灰石陶瓷Ca10(PO4)6X2 (X=F, Cl, OH)内氦泡的演化行为",吴采宇(硕士),核工程与材料,张建,2020-06-04 15:00,https://gs.xmu.edu.cn/info/1220/8216.htm
2990,韩国高校考试招生制度研究,凌磊(博士),高等教育学,郑若玲,2020-06-04 15:00,https://gs.xmu.edu.cn/info/1220/8215.htm
2991,营商环境、技术创新与全要素生产率,阮舟一龙(博士),技术经济及管理,许志端,2020-06-04 15:00,https://gs.xmu.edu.cn/info/1220/8214.htm
2992,生物质衍生碳基材料的制备及其电容性能研究,纪琳琳(硕士),物理化学,赵金保,2020-06-04 15:10,https://gs.xmu.edu.cn/info/1220/8213.htm
